iter	Passed	Remaining
0	136	136788
1	138	69223
2	143	47676
3	145	36126
4	146	29141
5	147	24495
6	150	21291
7	151	18763
8	152	16811
9	153	15239
10	158	14267
11	160	13201
12	161	12295
13	163	11526
14	166	10929
15	168	10339
16	170	9855
17	172	9419
18	174	9008
19	176	8663
20	178	8315
21	179	7989
22	180	7688
23	182	7426
24	190	7424
25	192	7209
26	194	7005
27	195	6792
28	196	6593
29	198	6407
30	202	6340
31	204	6176
32	205	6025
33	206	5879
34	208	5739
35	209	5611
36	210	5487
37	212	5370
38	213	5260
39	215	5162
40	216	5064
41	217	4967
42	219	4874
43	220	4786
44	221	4702
45	222	4621
46	224	4547
47	228	4533
48	230	4470
49	231	4400
50	233	4336
51	234	4270
52	235	4207
53	236	4146
54	237	4088
55	239	4031
56	242	4014
57	245	3982
58	246	3936
59	248	3893
60	251	3874
61	252	3827
62	254	3782
63	258	3781
64	260	3740
65	261	3699
66	262	3656
67	263	3616
68	265	3578
69	266	3541
70	267	3503
71	269	3467
72	270	3435
73	275	3453
74	277	3418
75	278	3385
76	279	3351
77	280	3317
78	281	3284
79	282	3252
80	283	3221
81	284	3190
82	285	3155
83	290	3163
84	291	3135
85	292	3107
86	293	3081
87	294	3054
88	295	3027
89	296	3002
90	298	2978
91	299	2953
92	300	2929
93	305	2940
94	306	2917
95	307	2895
96	308	2872
97	309	2850
98	310	2828
99	311	2807
100	313	2786
101	314	2766
102	315	2746
103	319	2752
104	320	2733
105	321	2714
106	323	2696
107	324	2678
108	325	2660
109	326	2642
110	327	2624
111	328	2607
112	329	2589
113	331	2574
114	333	2568
115	335	2556
116	336	2541
117	338	2526
118	339	2516
119	341	2501
120	342	2486
121	343	2470
122	347	2476
123	348	2463
124	349	2448
125	351	2435
126	351	2419
127	353	2405
128	354	2392
129	355	2379
130	356	2365
131	357	2352
132	358	2339
133	361	2334
134	362	2321
135	363	2308
136	364	2296
137	365	2285
138	366	2273
139	368	2261
140	369	2250
141	370	2238
142	374	2244
143	376	2237
144	377	2228
145	379	2219
146	380	2210
147	382	2202
148	384	2194
149	385	2186
150	390	2196
151	392	2188
152	393	2180
153	395	2172
154	396	2164
155	398	2155
156	399	2146
157	401	2137
158	404	2141
159	406	2133
160	407	2122
161	408	2113
162	409	2104
163	411	2096
164	412	2088
165	413	2079
166	415	2071
167	416	2062
168	421	2072
169	422	2063
170	423	2054
171	425	2046
172	426	2038
173	427	2031
174	429	2022
175	430	2014
176	431	2006
177	435	2010
178	437	2007
179	439	2001
180	440	1995
181	442	1989
182	444	1983
183	445	1975
184	446	1968
185	451	1974
186	453	1970
187	454	1963
188	455	1956
189	457	1948
190	458	1941
191	459	1933
192	460	1926
193	462	1919
194	466	1926
195	467	1919
196	469	1912
197	470	1906
198	471	1899
199	473	1892
200	474	1886
201	475	1879
202	477	1872
203	481	1878
204	483	1874
205	484	1867
206	485	1860
207	486	1854
208	488	1847
209	489	1841
210	490	1834
211	492	1829
212	496	1834
213	497	1828
214	499	1822
215	500	1815
216	501	1810
217	502	1804
218	504	1797
219	505	1791
220	506	1785
221	507	1779
222	513	1788
223	514	1783
224	516	1778
225	518	1774
226	519	1769
227	521	1764
228	522	1760
229	527	1766
230	529	1763
231	531	1758
232	532	1753
233	534	1749
234	535	1744
235	537	1740
236	539	1736
237	540	1731
238	542	1727
239	544	1724
240	546	1720
241	547	1716
242	549	1711
243	555	1720
244	556	1716
245	558	1711
246	561	1712
247	563	1708
248	565	1705
249	571	1715
250	573	1710
251	574	1705
252	575	1700
